
[Name]
fluid

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
4.41960007e-01, 2.61191395e-03, 5.00000024e-04, 3.49398935e-03, 4.38024430e-03, 4.28527733e-03, 5.00838541e-06, 4.88994692e-06, 0.00000000e+00, 4.41960007e-01, 2.61191395e-03, 5.00000024e-04
4.39419985e-01, 2.61187647e-03, 5.00000024e-04, 3.63341765e-03, 4.38800594e-03, 4.29285970e-03, 5.03234924e-06, 4.91404853e-06, 0.00000000e+00, 4.39419985e-01, 2.61187647e-03, 5.00000024e-04
4.36879992e-01, 2.61183921e-03, 5.00000024e-04, 3.77322128e-03, 4.39583557e-03, 4.30050585e-03, 5.05786647e-06, 4.93963398e-06, 0.00000000e+00, 4.36879992e-01, 2.61183921e-03, 5.00000024e-04
4.34340000e-01, 2.61180173e-03, 5.00000024e-04, 3.91340535e-03, 4.40373458e-03, 4.30821767e-03, 5.08495123e-06, 4.96671464e-06, 0.00000000e+00, 4.34340000e-01, 2.61180173e-03, 5.00000024e-04
4.31800008e-01, 2.61176447e-03, 5.00000024e-04, 4.05397220e-03, 4.41170391e-03, 4.31599375e-03, 5.11361577e-06, 4.99529779e-06, 0.00000000e+00, 4.31800008e-01, 2.61176447e-03, 5.00000024e-04
4.29259986e-01, 2.61172699e-03, 5.00000024e-04, 4.19492647e-03, 4.41974495e-03, 4.32384992e-03, 5.14388557e-06, 5.02542071e-06, 0.00000000e+00, 4.29259986e-01, 2.61172699e-03, 5.00000024e-04
4.26719993e-01, 2.61168974e-03, 5.00000024e-04, 4.33626957e-03, 4.42785909e-03, 4.33177687e-03, 5.17585113e-06, 5.05714843e-06, 0.00000000e+00, 4.26719993e-01, 2.61168974e-03, 5.00000024e-04
4.24180001e-01, 2.61165225e-03, 5.00000024e-04, 4.47800662e-03, 4.43604728e-03, 4.33977274e-03, 5.20972753e-06, 5.09067149e-06, 0.00000000e+00, 4.24180001e-01, 2.61165225e-03, 5.00000024e-04
4.21640009e-01, 2.61161500e-03, 5.00000024e-04, 4.62014368e-03, 4.44431044e-03, 4.34784917e-03, 5.24593270e-06, 5.12638508e-06, 0.00000000e+00, 4.21640009e-01, 2.61161500e-03, 5.00000024e-04
4.19099987e-01, 2.61157751e-03, 5.00000024e-04, 4.76268400e-03, 4.45264950e-03, 4.35598660e-03, 5.28525834e-06, 5.16499995e-06, 0.00000000e+00, 4.19099987e-01, 2.61157751e-03, 5.00000024e-04
4.16559994e-01, 2.61154026e-03, 5.00000024e-04, 4.90563409e-03, 4.46106633e-03, 4.36420273e-03, 5.32894137e-06, 5.20769072e-06, 0.00000000e+00, 4.16559994e-01, 2.61154026e-03, 5.00000024e-04
4.14020002e-01, 2.61150277e-03, 5.00000024e-04, 5.04900143e-03, 4.46956092e-03, 4.37250407e-03, 5.37815140e-06, 5.25557016e-06, 0.00000000e+00, 4.14020002e-01, 2.61150277e-03, 5.00000024e-04
4.11480010e-01, 2.61146552e-03, 5.00000024e-04, 5.19279065e-03, 4.47813328e-03, 4.38087713e-03, 5.43316901e-06, 5.30891339e-06, 0.00000000e+00, 4.11480010e-01, 2.61146552e-03, 5.00000024e-04
4.08939987e-01, 2.61142827e-03, 5.00000024e-04, 5.33700455e-03, 4.48678387e-03, 4.38932795e-03, 5.49313290e-06, 5.36694142e-06, 0.00000000e+00, 4.08939987e-01, 2.61142827e-03, 5.00000024e-04
4.06399995e-01, 2.61139078e-03, 5.00000024e-04, 5.48164314e-03, 4.49551269e-03, 4.39785235e-03, 5.55685892e-06, 5.42852513e-06, 0.00000000e+00, 4.06399995e-01, 2.61139078e-03, 5.00000024e-04
4.03860003e-01, 2.61135353e-03, 5.00000024e-04, 5.62671293e-03, 4.50432021e-03, 4.40644845e-03, 5.62373998e-06, 5.49308061e-06, 0.00000000e+00, 4.03860003e-01, 2.61135353e-03, 5.00000024e-04
4.01320010e-01, 2.61131604e-03, 5.00000024e-04, 5.77221392e-03, 4.51320829e-03, 4.41512978e-03, 5.69371059e-06, 5.56056420e-06, 0.00000000e+00, 4.01320010e-01, 2.61131604e-03, 5.00000024e-04
3.98779988e-01, 2.61127879e-03, 5.00000024e-04, 5.91815030e-03, 4.52217832e-03, 4.42389585e-03, 5.76677121e-06, 5.63098274e-06, 0.00000000e+00, 3.98779988e-01, 2.61127879e-03, 5.00000024e-04
3.96239996e-01, 2.61124130e-03, 5.00000024e-04, 6.06452301e-03, 4.53123124e-03, 4.43274388e-03, 5.84264535e-06, 5.70407201e-06, 0.00000000e+00, 3.96239996e-01, 2.61124130e-03, 5.00000024e-04
